gene_id,symbol,entrez_gid,transcript_name,ensembl_tid,full_name
"1","TSPAN6","7105","TSPAN6-201","ENST00000373020","tetraspanin 6"
"2","TNMD","64102","TNMD-201","ENST00000373031","tenomodulin"
"3","DPM1","8813","DPM1-203","ENST00000371588","dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
"4","SCYL3","57147","SCYL3-202","ENST00000367771","SCY1 like pseudokinase 3"
"5","C1orf112","55732","C1orf112-209","ENST00000498289","chromosome 1 open reading frame 112"
"6","FGR","2268","FGR-203","ENST00000374005","FGR proto-oncogene, Src family tyrosine kinase"
"7","CFH","3075","CFH-202","ENST00000367429","complement factor H"
"8","FUCA2","2519","FUCA2-201","ENST00000002165","alpha-L-fucosidase 2"
"9","GCLC","2729","GCLC-205","ENST00000509541","glutamate-cysteine ligase catalytic subunit"
"10","NFYA","4800","NFYA-201","ENST00000341376","nuclear transcription factor Y subunit alpha"
"11","STPG1","90529","STPG1-203","ENST00000374409","sperm tail PG-rich repeat containing 1"
"12","NIPAL3","57185","NIPAL3-204","ENST00000374399","NIPA like domain containing 3"
"13","LAS1L","81887","LAS1L-202","ENST00000374807","LAS1 like ribosome biogenesis factor"
"14","ENPP4","22875","ENPP4-201","ENST00000321037","ectonucleotide pyrophosphatase/phosphodiesterase 4"
"15","SEMA3F","6405","SEMA3F-203","ENST00000414301","semaphorin 3F"
"16","CFTR","1080","CFTR-220","ENST00000673785","CF transmembrane conductance regulator"
"17","ANKIB1","54467","ANKIB1-201","ENST00000265742","ankyrin repeat and IBR domain containing 1"
"18","RAD52","5893","RAD52-202","ENST00000358495","RAD52 homolog, DNA repair protein"
"19","MYH16","","MYH16-203","ENST00000439784","NA"
"20","BAD","572","BAD-203","ENST00000394532","BCL2 associated agonist of cell death"
"21","LAP3","51056","LAP3-201","ENST00000226299","leucine aminopeptidase 3"
"22","CD99","4267","CD99-205","ENST00000381192","CD99 molecule (Xg blood group)"
"23","HS3ST1","9957","HS3ST1-201","ENST00000002596","heparan sulfate-glucosamine 3-sulfotransferase 1"
"24","AOC1","26","AOC1-207","ENST00000493429","amine oxidase copper containing 1"
"25","WNT16","51384","WNT16-202","ENST00000361301","Wnt family member 16"
"26","HECW1","23072","HECW1-201","ENST00000395891","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
"27","LASP1","3927","LASP1-201","ENST00000318008","LIM and SH3 protein 1"
"28","SNX11","29916","SNX11-208","ENST00000581298","sorting nexin 11"
"29","TMEM176A","55365","TMEM176A-210","ENST00000484928","transmembrane protein 176A"
"30","M6PR","4074","M6PR-204","ENST00000539143","mannose-6-phosphate receptor, cation dependent"
"31","KLHL13","90293","KLHL13-204","ENST00000371882","kelch like family member 13"
"32","CYP26B1","56603","CYP26B1-201","ENST00000001146","cytochrome P450 family 26 subfamily B member 1"
"33","ICA1","3382","ICA1-206","ENST00000402384","islet cell autoantigen 1"
"34","DBNDD1","79007","DBNDD1-205","ENST00000568662","dysbindin domain containing 1"
"35","ALS2","57679","ALS2-201","ENST00000264276","alsin Rho guanine nucleotide exchange factor ALS2"
